symbol_id,seal_id,symbol_index,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,stroke_density,bbox_area_ratio,bbox_aspect_ratio,skeleton_pixel_fraction,endpoint_count,junction_count
page661_H-114_A_c0_sym_001,page661_H-114_A_c0,1,0.0025776043341790324,5.490099459859449e-06,9.680267165241861e-11,1.0325790462998886e-10,1.0291630193825098e-20,2.376474758782889e-13,8.110613606780871e-22,0.10693359375,0.21875,4.571428571428571,0.030517578125,0.0,117.0
page661_H-114_A_c0_sym_002,page661_H-114_A_c0,2,0.0014793747477632217,5.309048028202388e-07,8.528589861199748e-13,2.1071553514730873e-12,3.25807536026058e-25,-8.482161474516713e-16,2.8059201836925137e-24,0.30615234375,0.59375,1.6842105263157894,0.071044921875,0.0,291.0
page661_H-115_a_c2_sym_001,page661_H-115_a_c2,1,0.0013889878603171439,4.119726561755245e-09,6.417288662051197e-13,1.0204630419364352e-11,2.5218537088232992e-23,6.307484081389724e-16,6.779459511216304e-24,0.648193359375,1.0,1.0,0.3701171875,15.0,1300.0
page661_H-116_A_c0_sym_001,page661_H-116_A_c0,1,0.0025776043341790324,5.490099459859449e-06,9.680267165241861e-11,1.0325790462998886e-10,1.0291630193825098e-20,2.376474758782889e-13,8.110613606780871e-22,0.10693359375,0.21875,4.571428571428571,0.030517578125,0.0,117.0
page661_H-116_A_c0_sym_002,page661_H-116_A_c0,2,0.0014793747477632217,5.309048028202388e-07,8.528589861199748e-13,2.1071553514730873e-12,3.25807536026058e-25,-8.482161474516713e-16,2.8059201836925137e-24,0.30615234375,0.59375,1.6842105263157894,0.071044921875,0.0,291.0
page661_H-116_a_c1_sym_001,page661_H-116_a_c1,1,0.001673692712965824,7.788544954800347e-07,1.8631888281102738e-11,7.944542497577063e-12,6.271244624991942e-23,3.863964082278185e-15,-7.355038141171833e-23,0.22802734375,0.578125,0.578125,0.052490234375,0.0,215.0
page661_H-116_a_c1_sym_002,page661_H-116_a_c1,2,0.001082538777558477,5.459245214662105e-07,5.505030412022067e-13,3.2569377957243845e-13,1.239371566817861e-25,2.2447840808588363e-16,-6.048636456647559e-26,0.03515625,0.03515625,9.0,0.0,0.0,0.0
page661_H-116_a_c1_sym_003,page661_H-116_a_c1,3,0.005114597039158642,2.5305135005601885e-05,1.2013199502370322e-10,1.1428955830267134e-10,1.3387637008738906e-20,5.734810805459864e-13,-3.3416379386603897e-22,0.040283203125,0.078125,12.8,0.019775390625,5.0,48.0
page661_H-117_A_c2_sym_001,page661_H-117_A_c2,1,0.0012244249570026893,2.6288238164056195e-09,5.879941485141285e-13,7.715560794896968e-12,4.4729358993218775e-24,3.8330340526218893e-16,-1.5813358830992422e-23,0.652587890625,0.984375,1.0158730158730158,0.390625,14.0,1467.0
page661_H-1_I_c0_sym_001,page661_H-1_I_c0,1,0.011913306496649454,0.00014151398454637657,1.2724744192470114e-09,1.2723485490851438e-09,1.6189507696728555e-18,1.513546945460384e-11,-6.588540694282165e-22,0.02978515625,0.03125,0.03125,0.015625,2.0,0.0
page661_H-1_I_c0_sym_002,page661_H-1_I_c0,2,0.007868032874233929,6.142566991921662e-05,2.013073566272681e-11,2.0060023246610594e-11,4.031094535139711e-22,1.5708315939276818e-13,-1.7275083474825555e-24,0.046875,0.046875,0.046875,0.01513671875,2.0,0.0
page661_H-1_I_c0_sym_003,page661_H-1_I_c0,3,0.001134580046304959,3.3012341955085626e-10,4.387013696232789e-12,3.0639727661561705e-13,-3.5138629108949167e-25,2.198257576451141e-18,5.212784185670436e-26,0.714599609375,1.0,1.0,0.4150390625,20.0,1500.0
page661_H-1_I_c0_sym_004,page661_H-1_I_c0,4,0.0010356754224568779,9.954004443717247e-09,3.0288497046044094e-13,5.643695938585747e-12,7.119326514595417e-24,4.661674779810964e-16,-1.939461741276811e-24,0.388916015625,0.921875,1.0847457627118644,0.080078125,0.0,328.0
page661_H-1_I_c0_sym_005,page661_H-1_I_c0,5,0.0011839597095898006,2.3344152807399276e-07,3.0792023253654577e-12,5.030409311020044e-12,1.9794772850902754e-23,2.149269729262178e-15,3.644007631055346e-25,0.30908203125,0.625,1.6,0.12353515625,3.0,462.0
page661_H-1_I_c0_sym_006,page661_H-1_I_c0,6,0.0014746576141027564,6.087882886304812e-07,1.310251255952274e-11,1.7411552153685213e-11,2.2016906254610227e-22,1.2424983155265203e-14,1.43831516402606e-22,0.26806640625,0.546875,1.8285714285714285,0.07568359375,0.0,310.0
page661_H-1_I_c1_sym_001,page661_H-1_I_c1,1,0.0012244249570026893,2.6288238164056195e-09,5.879941485141285e-13,7.715560794896968e-12,4.4729358993218775e-24,3.8330340526218893e-16,-1.5813358830992422e-23,0.652587890625,0.984375,1.0158730158730158,0.390625,14.0,1467.0
page662_H-125_A_c2_sym_001,page662_H-125_A_c2,1,0.004939181264163819,2.358591436702252e-05,4.4284526922404875e-10,4.4633151421806025e-10,1.984278327002266e-19,2.1666681015707342e-12,-1.3292451477862294e-21,0.054931640625,0.09375,10.666666666666666,0.015380859375,2.0,0.0
