page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
37,18,0,M-1 C M-1 D,M-1 C M-1 D,1627,1918,484,29,1759,M,1,C,,,M-1 C
37,18,1,M-1 C M-1 D,M-1 C M-1 D,1627,1918,484,29,2001,M,1,D,,,M-1 D
38,7,0,M-3A,M-3A,726,1611,101,28,776,M,3,A,,,M-3 A
38,14,0,M-3 a,M-3 a,733,3228,91,27,778,M,3,a,,,M-3 a
39,6,0,M-4 B M-4 D M-+A,M-4 B M-4 D M-+A,336,1334,1421,38,602,M,4,B,,,M-4 B
39,6,1,M-4 B M-4 D M-+A,M-4 B M-4 D M-+A,336,1334,1421,38,1135,M,4,D,,,M-4 D
39,13,0,M-4 a,M-4 a,1654,2599,93,27,1700,M,4,a,,,M-4 a
40,9,0,M-5 B M-5 D,M-5 B M-5 D,1442,1287,735,34,1642,M,5,B,,,M-5 B
40,9,1,M-5 B M-5 D,M-5 B M-5 D,1442,1287,735,34,2009,M,5,D,,,M-5 D
40,10,0,M-5 A,M-5 A,568,1330,104,28,620,M,5,A,,,M-5 A
40,20,0,M-5 a,M-5 a,546,2536,93,27,592,M,5,a,,,M-5 a
41,3,0,ae ; 4 Pe — 4 - ? -,ae ; 4 Pe - 4 - ? -,824,272,1395,37,1631,E,4,,,,E-4
41,15,0,M-6A,M-6A,1481,1717,102,28,1532,M,6,A,,,M-6 A
41,31,0,M-6 4,M-6 4,1535,3216,93,28,1572,M,6,,,,M-6
42,6,0,M-7 A,M-7 A,742,1672,106,41,795,M,7,A,,,M-7 A
